last_update,location_type,state,county_name_x,county_name_long,fips_code,lat,lon,NCHS_urbanization,total_population,confirmed,confirmed_per_100000,deaths,deaths_per_100000,GEO_NAME,GEO_PARENT_NAME,Percent of Population with No Health Insurance Coverage,Percent of Population with No Health Insurance Coverage *margin of error,county_name_y
2020-09-23 23:23:49 UTC,county,Alabama,Autauga,"Autauga, Alabama, US",1001.0,32.53952745,-86.64408227,Medium metro,55200.0,1715,3106.88,25,45.29,Autauga County,Alabama,7.1,0.9,Autauga
2020-09-23 23:23:49 UTC,county,Alabama,Baldwin,"Baldwin, Alabama, US",1003.0,30.72774991,-87.72207058,Small metro,208107.0,5141,2470.36,49,23.55,Baldwin County,Alabama,10.2,0.8,Baldwin
2020-09-23 23:23:49 UTC,county,Alabama,Barbour,"Barbour, Alabama, US",1005.0,31.868263,-85.3871286,Non-core,25782.0,851,3300.75,7,27.15,Barbour County,Alabama,11.2,1.6,Barbour
2020-09-23 23:23:49 UTC,county,Alabama,Bibb,"Bibb, Alabama, US",1007.0,32.99642064,-87.12511459999999,Large fringe metro,22527.0,638,2832.16,10,44.39,Bibb County,Alabama,7.9,1.9,Bibb
2020-09-23 23:23:49 UTC,county,Alabama,Blount,"Blount, Alabama, US",1009.0,33.98210918,-86.56790593,Large fringe metro,57645.0,1580,2740.91,15,26.02,Blount County,Alabama,11.0,1.3,Blount
2020-09-23 23:23:49 UTC,county,Alabama,Bullock,"Bullock, Alabama, US",1011.0,32.10030533,-85.71265535,Non-core,10352.0,597,5767.0,14,135.24,Bullock County,Alabama,10.8,3.4,Bullock
2020-09-23 23:23:49 UTC,county,Alabama,Butler,"Butler, Alabama, US",1013.0,31.75300095,-86.68057478,Non-core,20025.0,911,4549.31,39,194.76,Butler County,Alabama,10.2,1.7,Butler
2020-09-23 23:23:49 UTC,county,Alabama,Calhoun,"Calhoun, Alabama, US",1015.0,33.77483727,-85.82630386,Small metro,115098.0,3401,2954.87,40,34.75,Calhoun County,Alabama,9.4,0.7,Calhoun
2020-09-23 23:23:49 UTC,county,Alabama,Chambers,"Chambers, Alabama, US",1017.0,32.91360079,-85.39072749,Micropolitan,33826.0,1144,3382.01,42,124.16,Chambers County,Alabama,10.8,1.4,Chambers
2020-09-23 23:23:49 UTC,county,Alabama,Cherokee,"Cherokee, Alabama, US",1019.0,34.17805983,-85.60638968,Non-core,25853.0,583,2255.06,15,58.02,Cherokee County,Alabama,8.3,1.7,Cherokee
2020-09-23 23:23:49 UTC,county,Alabama,Chilton,"Chilton, Alabama, US",1021.0,32.85044126,-86.7173256,Large fringe metro,43930.0,1524,3469.16,31,70.57,Chilton County,Alabama,14.2,1.6,Chilton
2020-09-23 23:23:49 UTC,county,Alabama,Choctaw,"Choctaw, Alabama, US",1023.0,32.02227341,-88.26564429999999,Non-core,13075.0,344,2630.98,12,91.78,Choctaw County,Alabama,11.4,2.2,Choctaw
2020-09-23 23:23:49 UTC,county,Alabama,Clarke,"Clarke, Alabama, US",1025.0,31.68099859,-87.83548597,Non-core,24387.0,1070,4387.58,17,69.71,Clarke County,Alabama,10.8,1.6,Clarke
2020-09-23 23:23:49 UTC,county,Alabama,Clay,"Clay, Alabama, US",1027.0,33.26984193,-85.85836077,Non-core,13378.0,554,4141.13,7,52.32,Clay County,Alabama,10.2,2.1,Clay
2020-09-23 23:23:49 UTC,county,Alabama,Cleburne,"Cleburne, Alabama, US",1029.0,33.67679204,-85.52005899,Non-core,14938.0,335,2242.6,6,40.17,Cleburne County,Alabama,12.8,1.8,Cleburne
2020-09-23 23:23:49 UTC,county,Alabama,Coffee,"Coffee, Alabama, US",1031.0,31.39932826,-85.98901039,Micropolitan,51288.0,1298,2530.81,8,15.6,Coffee County,Alabama,10.1,1.1,Coffee
2020-09-23 23:23:49 UTC,county,Alabama,Colbert,"Colbert, Alabama, US",1033.0,34.69847452,-87.80168544,Small metro,54495.0,1629,2989.27,26,47.71,Colbert County,Alabama,8.1,1.0,Colbert
2020-09-23 23:23:49 UTC,county,Alabama,Conecuh,"Conecuh, Alabama, US",1035.0,31.43401703,-86.99320044,Non-core,12514.0,530,4235.26,11,87.9,Conecuh County,Alabama,14.5,3.4,Conecuh
2020-09-23 23:23:49 UTC,county,Alabama,Coosa,"Coosa, Alabama, US",1037.0,32.93690146,-86.24847739,Micropolitan,10855.0,167,1538.46,3,27.64,Coosa County,Alabama,7.8,2.7,Coosa
2020-09-23 23:23:49 UTC,county,Alabama,Covington,"Covington, Alabama, US",1039.0,31.247785399999998,-86.45050893,Non-core,37351.0,1334,3571.52,27,72.29,Covington County,Alabama,11.2,1.4,Covington
2020-09-23 23:23:49 UTC,county,Alabama,Crenshaw,"Crenshaw, Alabama, US",1041.0,31.72941803,-86.31593104,Non-core,13865.0,527,3800.94,32,230.8,Crenshaw County,Alabama,10.0,1.7,Crenshaw
2020-09-23 23:23:49 UTC,county,Alabama,Cullman,"Cullman, Alabama, US",1043.0,34.13020303,-86.86888037,Micropolitan,82313.0,1868,2269.39,18,21.87,Cullman County,Alabama,11.8,1.1,Cullman
2020-09-23 23:23:49 UTC,county,Alabama,Dale,"Dale, Alabama, US",1045.0,31.43037123,-85.61095742,Micropolitan,49255.0,1346,2732.72,44,89.33,Dale County,Alabama,11.4,1.3,Dale
2020-09-23 23:23:49 UTC,county,Alabama,Dallas,"Dallas, Alabama, US",1047.0,32.32688101,-87.10866709999999,Micropolitan,40029.0,1759,4394.31,26,64.95,Dallas County,Alabama,12.0,1.4,Dallas
2020-09-23 23:23:49 UTC,county,Alabama,DeKalb,"DeKalb, Alabama, US",1049.0,34.45946862,-85.80782906,Non-core,71200.0,2375,3335.67,19,26.69,DeKalb County,Alabama,14.5,1.2,DeKalb
2020-09-23 23:23:49 UTC,county,Alabama,Elmore,"Elmore, Alabama, US",1051.0,32.59785413,-86.14415284,Medium metro,81212.0,2596,3196.57,47,57.87,Elmore County,Alabama,8.2,1.1,Elmore
2020-09-23 23:23:49 UTC,county,Alabama,Escambia,"Escambia, Alabama, US",1053.0,31.1256789,-87.15918694,Non-core,37328.0,1577,4224.71,25,66.97,Escambia County,Alabama,15.5,1.7,Escambia
2020-09-23 23:23:49 UTC,county,Alabama,Etowah,"Etowah, Alabama, US",1055.0,34.04567266,-86.04051873,Small metro,102939.0,3402,3304.87,47,45.66,Etowah County,Alabama,10.4,0.7,Etowah
